priming,qt,avg,participant,story
soc,al,0.75,331,32
soc,as,0.75,331,32
soc,al,0.0,332,32
soc,as,0.125,332,32
soc,al,1.25,333,32
soc,as,1.3125,333,32
soc,al,0.0,334,32
soc,as,0.0,334,32
soc,al,0.0,335,32
soc,as,1.5,335,32
soc,al,1.0,336,32
soc,as,0.875,336,32
soc,al,0.0,337,32
soc,as,1.5625,337,32
soc,al,1.625,338,32
soc,as,2.25,338,32
soc,al,1.35,339,33
soc,as,2.0500000000000003,339,33
soc,al,2.4375,340,33
soc,as,2.5,340,33
soc,al,2.5,341,33
soc,as,2.0,341,33
soc,al,0.0,342,33
soc,as,0.0625,342,33
soc,al,1.3125,343,33
soc,as,1.75,343,33
soc,al,2.3125,344,33
soc,as,1.9375,344,33
soc,al,2.0,345,33
soc,as,2.3125,345,33
soc,al,2.25,346,33
soc,as,2.0625,346,33
soc,al,0.125,347,34
soc,as,2.3125,347,34
soc,al,0.0,348,34
soc,as,0.125,348,34
soc,al,1.0,349,34
soc,as,2.875,349,34
soc,al,0.4375,350,34
soc,as,0.6875,350,34
soc,al,1.6458333333333333,351,41
soc,as,2.0,351,41
soc,al,1.125,352,41
soc,as,1.5625,352,41
soc,al,0.3125,353,41
soc,as,0.0,353,41
soc,al,0.3125,354,41
soc,as,0.0,354,41
soc,al,1.6875,355,41
soc,as,2.75,355,41
soc,al,1.5,356,41
soc,as,2.25,356,41
soc,al,0.4375,357,41
soc,as,0.0,357,41
soc,al,1.8125,358,41
soc,as,1.125,358,41
soc,al,1.375,359,41
soc,as,3.0,359,41
soc,al,1.4000000000000001,360,42
soc,as,2.2,360,42
soc,al,0.0,361,42
soc,as,1.4375,361,42
soc,al,0.5625,362,42
soc,as,0.0,362,42
soc,al,0.5625,363,42
soc,as,2.9375,363,42
soc,al,1.5499999999999998,364,43
soc,as,1.3,364,43
soc,al,1.2,365,43
soc,as,0.35,365,43
soc,al,1.0,366,43
soc,as,2.25,366,43
soc,al,1.6875,367,43
soc,as,2.0,367,43
soc,al,0.6875,368,43
soc,as,1.8125,368,43
soc,al,1.875,369,43
soc,as,2.3125,369,43
soc,al,1.875,370,43
soc,as,0.75,370,43
soc,al,1.375,371,43
soc,as,1.125,371,43
soc,al,0.9,372,44
soc,as,2.25,372,44
soc,al,1.25,373,44
soc,as,3.0,373,44
soc,al,1.375,374,44
soc,as,2.0,374,44
soc,al,1.1875,375,44
soc,as,1.4375,375,44
soc,al,0.5,376,44
soc,as,1.0,376,44
soc,al,1.5,377,44
soc,as,2.1875,377,44
soc,al,0.6875,378,44
soc,as,1.625,378,44
