priming,cor_type,cor, sub
np,soc_cor,0.020967983798435404,43
loc,loc_cor,0.06363090159131839,44
loc,soc_cor,0.009883939726005637,44
loc,loc_cor,0.026987249554629552,45
loc,soc_cor,0.036665351451719404,45
loc,loc_cor,0.002205996034161184,46
loc,soc_cor,0.01707981234433545,46
loc,loc_cor,0.2530232098081872,47
loc,soc_cor,-0.01994050512399971,47
loc,loc_cor,0.04227448069277735,48
loc,soc_cor,0.018998406328653045,48
loc,loc_cor,0.020575513775162726,49
loc,soc_cor,0.024215885967097218,49
loc,loc_cor,0.03087732186250763,50
loc,soc_cor,0.021422825732914166,50
loc,loc_cor,0.049436429422327455,51
loc,soc_cor,0.013278032291973784,51
soc,loc_cor,0.02708878742382906,52
soc,soc_cor,0.00978849881208176,52
soc,loc_cor,0.02147759963981681,53
soc,soc_cor,0.009603353586255737,53
soc,loc_cor,0.03718319218333737,54
soc,soc_cor,0.003990232908181983,54
soc,loc_cor,0.022841006532718252,55
soc,soc_cor,0.010436478657734982,55
soc,loc_cor,0.010872098749702078,56
soc,soc_cor,0.02935434526780467,56
soc,loc_cor,0.007953737047314911,57
soc,soc_cor,0.007114383044676515,57
soc,loc_cor,0.026552939874787688,58
soc,soc_cor,0.0020833074835267147,58
np,loc_cor,-0.017950687595317195,59
np,soc_cor,0.012303043903499091,59
np,loc_cor,-0.0007686028139830927,60
np,soc_cor,0.005399514162659756,60
np,loc_cor,-0.0017315143879886455,61
np,soc_cor,0.02547888061588174,61
np,loc_cor,0.026114735037194903,62
np,soc_cor,0.03674798927603076,62
np,loc_cor,0.009481809354046473,63
np,soc_cor,0.0096419517083582,63
np,loc_cor,0.0066093949233752055,64
np,soc_cor,0.010053041538266617,64
np,loc_cor,-0.0027523069626002117,65
np,soc_cor,0.011082374464243882,65
np,loc_cor,-0.021826173680745638,66
np,soc_cor,0.022490598367495555,66
np,loc_cor,-0.003085042843126909,67
np,soc_cor,0.019512496994356508,67
np,loc_cor,0.01299987732673223,68
np,soc_cor,0.01589519102522878,68
np,loc_cor,-0.006484118740867339,69
np,soc_cor,0.02608325350262172,69
loc,loc_cor,0.007351925110728628,70
loc,soc_cor,0.008522704312975065,70
loc,loc_cor,0.02268138098529659,71
loc,soc_cor,0.017556692758390544,71
loc,loc_cor,-0.011979067159526399,72
loc,soc_cor,0.010741701628273025,72
loc,loc_cor,0.002580558145609168,73
loc,soc_cor,0.060390892863927396,73
loc,loc_cor,0.006494999336718581,74
loc,soc_cor,0.013192476818380969,74
loc,loc_cor,0.014891924603912277,75
loc,soc_cor,0.03338139266823099,75
loc,loc_cor,0.003363499717333235,76
loc,soc_cor,0.0474906140798527,76
loc,loc_cor,0.009860905346033667,77
loc,soc_cor,0.0259638376732875,77
loc,loc_cor,0.000570296547313851,78
loc,soc_cor,0.01606384559457081,78
soc,loc_cor,0.01156992354737577,79
soc,soc_cor,0.01765110671749202,79
soc,loc_cor,0.009196871860569488,80
soc,soc_cor,0.01508980054794386,80
soc,loc_cor,0.0230208368847029,81
soc,soc_cor,0.014773682905932908,81
soc,loc_cor,-0.0011354481411876957,82
soc,soc_cor,0.013411819421544829,82
soc,loc_cor,0.012459101352726628,83
soc,soc_cor,0.007337792374862786,83
np,loc_cor,0.02809436513641991,84
np,soc_cor,0.02224550518097927,84
np,loc_cor,0.023412943161327398,85
np,soc_cor,0.01304181277013632,85
np,loc_cor,0.01796661173863011,86
np,soc_cor,0.023202454359986885,86
np,loc_cor,0.0159853036649729,87
np,soc_cor,0.03732484032570563,87
np,loc_cor,0.016761694954625574,88
np,soc_cor,0.028758519035379924,88
np,loc_cor,0.009147701493026891,89
np,soc_cor,0.023553953357993828,89
np,loc_cor,0.015645820981842064,90
np,soc_cor,0.014687408956481027,90
np,loc_cor,0.014616445771131253,91
np,soc_cor,0.01767725915511515,91
loc,loc_cor,0.022043952631779416,92
loc,soc_cor,0.03679090177540683,92
loc,loc_cor,0.009546912631194992,93
loc,soc_cor,0.021543195618272774,93
loc,loc_cor,0.03883730931499653,94
loc,soc_cor,0.011053864255536986,94
loc,loc_cor,-0.006440345598078128,95
loc,soc_cor,0.035663391562976786,95
loc,loc_cor,0.0342075271748456,96
loc,soc_cor,8.984138154542412e-05,96
soc,loc_cor,0.008048931718060577,97
soc,soc_cor,0.02353314988585714,97
soc,loc_cor,0.02039440732522891,98
soc,soc_cor,0.014187049548346254,98
soc,loc_cor,0.020153298527586343,99
soc,soc_cor,-0.003038982177827939,99
soc,loc_cor,-0.03124083699394262,100
soc,soc_cor,0.07242082711712014,100
soc,loc_cor,0.11620052043748431,101
soc,soc_cor,0.02999510011697506,101
soc,loc_cor,0.008646806346603787,102
soc,soc_cor,0.048787954050988944,102
soc,loc_cor,0.0577398555291177,103
soc,soc_cor,0.02120894067162497,103
soc,loc_cor,0.013016819269603989,104
soc,soc_cor,0.018056295286413435,104
soc,loc_cor,0.02694998712916759,105
soc,soc_cor,0.034476217607504106,105
soc,loc_cor,-0.00602971878976422,106
soc,soc_cor,-0.01220606967026932,106
np,loc_cor,-0.004314965155556236,107
np,soc_cor,0.036104632271296414,107
np,loc_cor,0.004185839209957267,108
