corr_value,WV_Type,Template
0.04524757167569722,recall,loc
0.03990060594350252,recall,soc
0.010334167106962944,recall,loc
0.0004372836571444273,recall,soc
0.0007521835616545766,recall,loc
0.012267365366824035,recall,soc
0.022890653600042863,recall,loc
0.006175282121479957,recall,soc
0.03561057258666496,recall,loc
0.03240296146744783,recall,soc
0.024958246766398413,recall,loc
-0.002096583242231333,recall,soc
0.004504012269144112,recall,loc
0.009892463212644502,recall,soc
-0.0036394386715684996,recall,loc
-0.0050876312880267375,recall,soc
0.021073538553914483,recall,loc
0.015932349277218708,recall,soc
0.007069610824165457,recall,loc
-0.001458201723061403,recall,soc
0.016996237751874088,recall,loc
0.013499785308239705,recall,soc
0.0031388445371785217,recall,loc
0.013924188313742331,recall,soc
0.005796957025850316,recall,loc
-0.008028752211136159,recall,soc
0.016783343693342792,recall,loc
-0.0003142550568640067,recall,soc
0.02856021685654099,recall,loc
0.00619569078362993,recall,soc
0.03874754020344365,recall,loc
0.01616985165886677,recall,soc
0.02012850080788759,recall,loc
-0.003277720860359809,recall,soc
0.007277808065494112,recall,loc
0.009914368343858587,recall,soc
0.043880830268493334,recall,loc
0.014482367157373978,recall,soc
0.017103065263887742,recall,loc
0.0017536386710614543,recall,soc
-0.02335587852761251,recall,loc
-0.021617902995933986,recall,soc
0.0012988939464022118,recall,loc
0.02485746947491259,recall,soc
0.015364636070065914,recall,loc
-0.008800551847612933,recall,soc
0.035263464991099294,recall,loc
0.011305324607444158,recall,soc
0.01818617960347819,recall,loc
0.0016926465505970759,recall,soc
0.03311676972423029,recall,loc
-0.013436288900925443,recall,soc
0.02498753895089366,recall,loc
0.001692301547257799,recall,soc
0.02652307500771223,recall,loc
0.02476225052597025,recall,soc
0.020363558304379983,recall,loc
0.004865565408730462,recall,soc
0.02647527910750271,recall,loc
-0.001526642412098006,recall,soc
0.024043982726529203,recall,loc
-0.007305155419998169,recall,soc
-0.0504536013642668,recall,loc
0.004130359580782302,recall,soc
0.04057715837044561,recall,loc
-0.0034191038163204827,recall,soc
0.025802460625487633,recall,loc
0.0008961800162458092,recall,soc
0.018827351804579652,recall,loc
0.0027090276568938563,recall,soc
0.032559054374344275,recall,loc
0.0047164769574629915,recall,soc
9.921316734437086e-05,recall,loc
-0.016453640868839915,recall,soc
0.032819328463169324,recall,loc
0.028386999011558983,recall,soc
0.011901606065038258,recall,loc
0.009496744664857445,recall,soc
0.01679639258663138,recall,loc
0.0009409182634758105,recall,soc
0.021431901876480523,recall,loc
0.018690467261244945,recall,soc
0.03598021653046915,recall,loc
0.015835904733166862,recall,soc
0.11615301108222398,recall,loc
0.07156907363017627,recall,soc
0.0159978849912012,recall,loc
0.01797337735039161,recall,soc
0.04926692024085362,recall,loc
0.002625945483104929,recall,soc
0.016549475589606927,recall,loc
0.030132073259388402,recall,soc
0.11332227757477123,recall,loc
0.04308673018449361,recall,soc
0.046467298906182085,recall,loc
0.01417787940415304,recall,soc
0.022786764180899265,recall,loc
-0.001768290074550493,recall,soc
0.05071605438819675,recall,loc
-0.003106713475701002,recall,soc
-0.004308592693734527,recall,loc
-0.026114713529576828,recall,soc
0.07429250083694369,recall,loc
-0.0035110638286856436,recall,soc
0.050377029598512535,recall,loc
0.004826170963340744,recall,soc
0.02972545834157315,recall,loc
0.01587763895816864,recall,soc
0.06038170643256879,recall,loc
0.01929215865290429,recall,soc
0.05834726974081504,recall,loc
-0.0014693226319193453,recall,soc
0.04704960656300434,recall,loc
0.012671978611832856,recall,soc
0.014753330475201895,recall,loc
0.02347551432010166,recall,soc
0.04615584433791319,recall,loc
0.012814232347031397,recall,soc
0.0011967586574217904,recall,loc
0.06388959848771676,recall,soc
0.02197567613008319,recall,loc
0.016109487915148456,recall,soc
0.03698065542267695,recall,loc
0.01658256778415726,recall,soc
0.02711412889874919,recall,loc
-0.002821198213309539,recall,soc
0.074393964804433,recall,loc
0.018431337182970357,recall,soc
0.06083153704755525,recall,loc
0.014113987768141203,recall,soc
0.033077777749272216,recall,loc
-0.005784148344744252,recall,soc
0.031087067514502922,recall,loc
0.0005548208558781677,recall,soc
0.017722357904027767,recall,loc
0.01955392054581669,recall,soc
0.0044234805376887456,recall,loc
0.059110753515212444,recall,soc
0.008837545009728793,recall,loc
0.042123240682790636,recall,soc
-0.008257382118323558,recall,loc
0.03200902610690495,recall,soc
-0.02428391406060761,recall,loc
0.06854711804361753,recall,soc
0.010090362104634345,recall,loc
0.024712322841028322,recall,soc
-0.021308463875964537,recall,loc
0.007990315460021649,recall,soc
-0.02131067408462516,recall,loc
0.06669827185345402,recall,soc
-0.017587282876910713,recall,loc
-0.015622303627289854,recall,soc
0.0047119538539873605,recall,loc
0.013705200806578869,recall,soc
-0.0036939593741996206,recall,loc
0.013156501749791199,recall,soc
0.014128899736450151,recall,loc
0.03465251621909551,recall,soc
0.00813145816775139,recall,loc
0.03251895868653956,recall,soc
0.013159877239218208,recall,loc
0.02909853699302002,recall,soc
-0.011966278212826214,recall,loc
0.0358941151059557,recall,soc
0.011560567139389655,recall,loc
0.035651870662419115,recall,soc
-0.02215227424907639,recall,loc
0.05984514406178032,recall,soc
-0.019673997202129433,recall,loc
0.04528298769013695,recall,soc
-0.009198690068215913,recall,loc
0.0370048950405607,recall,soc
0.001101045465993856,recall,loc
-0.0009537400501782012,recall,soc
0.003529359410415468,recall,loc
0.04273824069251693,recall,soc
-0.0023641196989175766,recall,loc
0.03498490456912934,recall,soc
0.02412136284048425,recall,loc
0.02790791353897414,recall,soc
0.015868184659814183,recall,loc
0.03398120369059166,recall,soc
0.021434736030456838,recall,loc
0.024413108979118567,recall,soc
0.00025665812343032666,recall,loc
0.04497300962269633,recall,soc
0.02169282899524497,recall,loc
0.03510934150894355,recall,soc
0.04038050767479578,recall,loc
0.03198907753577624,recall,soc
0.02835241756587569,recall,loc
0.02817661010913152,recall,soc
0.016517388990275772,recall,loc
0.022861781147411733,recall,soc
0.024981211052878514,recall,loc
0.013674554881769248,recall,soc
0.02421904441031554,recall,loc
0.015745473695138255,recall,soc
0.028052815864238564,recall,loc
0.002412824801850773,recall,soc
0.015854816010087355,recall,loc
0.028336676849449894,recall,soc
0.019673865228585323,recall,loc
0.019627298255477904,recall,soc
0.04328334245469132,recall,loc
0.019970101496360505,recall,soc
0.054058844516980856,recall,loc
0.013920624238178527,recall,soc
0.04704579683695165,recall,loc
0.004545605263615026,recall,soc
0.035036505892753894,recall,loc
0.04412748550026322,recall,soc
0.02917043301082581,recall,loc
0.03000745264617622,recall,soc
0.02854845531324057,recall,loc
0.010459803453495444,recall,soc
0.026814452970086815,recall,loc
0.01749209452491576,recall,soc
-0.02392965232207451,recall,loc
0.03260213473684227,recall,soc
0.0019288401115898836,recall,loc
0.03419903336647307,recall,soc
0.039052790957075416,recall,loc
0.02086391520739794,recall,soc
-0.0011730901057116292,recall,loc
0.02587943555358472,recall,soc
0.039031769882523146,recall,loc
0.015306048050538569,recall,soc
0.02351534981793944,recall,loc
0.05338211861435284,recall,soc
0.041838714911108514,recall,loc
0.02593785594884459,recall,soc
0.006725139231634247,recall,loc
0.0423368382375956,recall,soc
0.019641544994414492,recall,loc
0.0263575455693501,recall,soc
0.022117871620149405,recall,loc
0.0020273687454098912,recall,soc
0.022339431602051506,recall,loc
0.026668131690045067,recall,soc
-0.003743883081611622,recall,loc
0.0407375363876379,recall,soc
0.031491250853671666,recall,loc
0.027667270074835076,recall,soc
0.03161461191725485,recall,loc
0.042793909886970134,recall,soc
0.031114893098910894,recall,loc
0.033249427582730674,recall,soc
0.023281163823599873,recall,loc
0.030237796916756286,recall,soc
0.0347591806893999,recall,loc
0.018196962217020208,recall,soc
0.05255742026617292,recall,loc
0.03149419123105704,recall,soc
0.08404600621151412,recall,loc
0.030750133370235435,recall,soc
0.03187512804989369,recall,loc
0.02127248069774157,recall,soc
0.08171546870849151,recall,loc
0.02232612510874938,recall,soc
0.04231209361371029,recall,loc
0.03164616295390345,recall,soc
0.02518016326819885,recall,loc
0.030458257665970958,recall,soc
0.022273431192210872,recall,loc
0.008417131853676128,recall,soc
0.02883795492222338,recall,loc
0.08089988623859941,recall,soc
0.026865204405084924,recall,loc
0.0163948108850753,recall,soc
-0.037171652972304445,recall,loc
0.08864163874123326,recall,soc
0.026978253281886362,recall,loc
0.006312206186696408,recall,soc
0.024637673084294015,recall,loc
0.015078172723151081,recall,soc
0.028806518996969375,recall,loc
0.04581267024718489,recall,soc
0.018673966390402683,recall,loc
-0.014475670744060379,recall,soc
0.06729348878973204,recall,loc
0.03252155821099083,recall,soc
0.029245641495831278,recall,loc
0.039516681584928104,recall,soc
